segment_name,md5,program,from_date
new,28ee946718d3af0e0c9e5815e04803d2,oferting,2017-09-07 00:00:00.000000
new,be9b9f55336f50fe49523ccf87826632,oferting,2017-09-07 00:00:00.000000
new,2bc5aee314de185f94493bea431d744d,oferting,2017-09-07 00:00:00.000000
frequent openers,04745f2723167542498bb28b17b5d9c2,oferting,2017-09-07 00:00:00.000000
clickers,a13efa97127d40f0b26868c5fbbb8e8d,oferting,2017-09-07 00:00:00.000000
halfslept,21f17f07d79dbd4717debc0beee73f92,oferting,2017-09-07 00:00:00.000000
new,a07ab8ab0a06f3f9228ab90b30ed13ea,oferting,2017-09-07 00:00:00.000000
new,3b5ded23b283b33f3253ab857ecbb2f1,oferting,2017-09-07 00:00:00.000000
awaken,6156b48b4f5a1ff5335883430838a53c,oferting,2017-09-07 00:00:00.000000
frequent openers,7ea64a5bfc8800aa246da0159e7d3b92,oferting,2017-09-07 00:00:00.000000
clickers,d9e267842daa97d0eb3cb2ee58e401cc,oferting,2017-09-07 00:00:00.000000
stranger,1dfdc6dfc11e105f858530f2f7ed98bb,oferting,2017-09-07 00:00:00.000000
new,63dbe53d7d0b5189c6a3282223d3eb4d,oferting,2017-09-07 00:00:00.000000
preactivated,b184e298dd8d02753b02a0e44ea4c75a,oferting,2017-09-07 00:00:00.000000
halfslept,e1543ad0825fa97bbce88e1a68d65a56,oferting,2017-09-07 00:00:00.000000
clickers,c9c8409b9954625a1a689573cc4dda1a,oferting,2017-09-07 00:00:00.000000
frequent openers,839bfb740b6d827e8361820dbaad9b2e,oferting,2017-09-07 00:00:00.000000
frequent openers,f945c04685572cfc283ddd02761e7a7d,oferting,2017-09-07 00:00:00.000000
new,c45f3876849852997befcf59cf61d52a,oferting,2017-09-07 00:00:00.000000
frequent openers,682fa243813abb66b0e5196e6207e980,oferting,2017-09-07 00:00:00.000000
halfslept,05a18de287ea0bc3a44cb0e3101e8c28,oferting,2017-09-07 00:00:00.000000
new,be521f217a195596c121d26a5075c950,oferting,2017-09-07 00:00:00.000000
new,00499495bad6fd98d6b84f09bb9cacb8,oferting,2017-09-07 00:00:00.000000
clickers,55d8c4815785a8ac94aa09788b4d703f,oferting,2017-09-07 00:00:00.000000
frequent openers,98d533a5ea30dd072d6425799a8b1845,oferting,2017-09-07 00:00:00.000000
clickers,996b6633bf8df9320907ea8c261b1043,oferting,2017-09-07 00:00:00.000000
frequent openers,c007a832eca954a74ba8f5dd4f56699b,oferting,2017-09-07 00:00:00.000000
preactivated,83be6e4125fb34bcf1cad2fefc475618,oferting,2017-09-07 00:00:00.000000
new,9854029a50a10a151e67e6a1eeaa6a7d,oferting,2017-09-07 00:00:00.000000
stranger,c6d2d77876a686496bdb55e89f94f2f6,oferting,2017-09-07 00:00:00.000000
new,14c115cae0eb04bdea5ef5c12e147d31,oferting,2017-09-07 00:00:00.000000
total inactive,b360cb4dfed09bab54f9f7bfcdf16a31,oferting,2017-09-07 00:00:00.000000
stranger,a20934db19f872fbc5f2fb599747a231,oferting,2017-09-07 00:00:00.000000
stranger,0c21ec370ca040871215f1688df306c2,oferting,2017-09-07 00:00:00.000000
